video,lang,link,time_start,time_end,slo,eng
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:03,229","00:00:05,200",Lepo pozdravljeni v svetu slavnih.,Welcome to the celebrity world.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:05,660","00:00:09,035","V slovenske kinematografe je prišla komedija Kaj pa Ester?,","Slovenian cinemas are now screening the comedy 'Kaj pa Ester?',"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:09,060","00:00:12,420",v kateri spremljamo zgodbo mlade študentke filmske režije.,in which we follow the story of a young student of film direction.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:12,780","00:00:16,015","Za njeno srce se potegujeta njen nekdanji fant Kaj,","Competing for her heart are her ex-boyfriend Kaj,"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:16,040","00:00:19,029","ki ga igra Bojan Cvjetićanin, pevec skupine Joker Out","played by Bojan Cvjetićanin, lead singer of Joker Out"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:19,512","00:00:22,193","in Vanda, ki jo je upodobila Dijana Kolenc.","and Vanda, played by Dijana Kolenc."
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:22,400","00:00:27,093","Na premieri smo poklepetali z igralci, na spletu pa je že zaokrožila peticija,","We had a chat with the cast at the premiere, and an online petition has already gone viral"
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:27,379","00:00:30,494",da bi film prišel tudi v kinematografe v tujini.,to bring the film to cinemas abroad.
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:32,610","00:00:33,559",Kaj bova danes?,What are we doing today?
Bojan Cvjetićanin & 'Kaj pa Ester' crew interviews from POP IN,SLO,https://youtu.be/gsBXR8zfsWc,"00:00:34,290","00:00:36,140","Razmišljala sem, da bi šla narazen.",I was thinking of breaking up.
